               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.035422,            0.016452,                   0,             0.85842,             0.50597,             0.66473,              0.4675,            0.029355,            0.008859,                   0,           0.0031938,           0.0031938,           0.0031938
                  57,             0.04006,            0.020422,                   0,             0.85842,             0.50597,             0.66473,              0.4675,            0.029355,            0.008859,                   0,             0.00307,             0.00307,             0.00307
                  58,            0.033446,            0.018043,                   0,             0.96229,                 0.5,             0.61793,             0.43106,             0.02992,           0.0085091,                   0,           0.0029462,           0.0029462,           0.0029462
                  59,            0.036004,            0.016783,                   0,              0.9509,                 0.5,             0.59583,             0.41677,            0.031206,           0.0087433,                   0,           0.0028225,           0.0028225,           0.0028225
                  60,            0.035477,            0.018472,                   0,              0.9509,                 0.5,             0.59583,             0.41677,            0.031206,           0.0087433,                   0,           0.0026987,           0.0026987,           0.0026987
                  61,            0.030738,            0.018048,                   0,             0.95517,                 0.5,              0.6299,             0.45371,            0.029073,           0.0084748,                   0,            0.002575,            0.002575,            0.002575
                  62,            0.033292,            0.017599,                   0,             0.95517,                 0.5,              0.6299,             0.45371,            0.029073,           0.0084748,                   0,           0.0024513,           0.0024513,           0.0024513
                  63,            0.035285,            0.014448,                   0,             0.95973,                 0.5,             0.60737,             0.42277,            0.029563,           0.0084096,                   0,           0.0023275,           0.0023275,           0.0023275
                  64,            0.032393,            0.017389,                   0,             0.95844,                 0.5,             0.63937,             0.42467,            0.030691,           0.0082132,                   0,           0.0022038,           0.0022038,           0.0022038
                  65,            0.034016,            0.017064,                   0,             0.95844,                 0.5,             0.63937,             0.42467,            0.030691,           0.0082132,                   0,             0.00208,             0.00208,             0.00208
                  66,            0.037604,            0.016678,                   0,             0.95081,                 0.5,             0.67239,             0.44177,            0.030674,           0.0082146,                   0,           0.0019563,           0.0019563,           0.0019563
                  67,            0.033753,            0.018786,                   0,             0.95081,                 0.5,             0.67239,             0.44177,            0.030674,           0.0082146,                   0,           0.0018325,           0.0018325,           0.0018325
                  68,            0.033359,            0.019505,                   0,             0.94935,                 0.5,             0.64153,             0.41502,            0.029648,           0.0084687,                   0,           0.0017087,           0.0017087,           0.0017087
                  69,            0.028595,            0.016284,                   0,             0.96332,                 0.5,             0.69402,             0.45598,            0.029464,           0.0081222,                   0,            0.001585,            0.001585,            0.001585
                  70,            0.037706,            0.018642,                   0,             0.96332,                 0.5,             0.69402,             0.45598,            0.029464,           0.0081222,                   0,           0.0014612,           0.0014612,           0.0014612
                  71,            0.031374,            0.015583,                   0,             0.87291,             0.57356,             0.71987,             0.45866,            0.027923,           0.0083711,                   0,           0.0013375,           0.0013375,           0.0013375
                  72,            0.034074,            0.019344,                   0,             0.87291,             0.57356,             0.71987,             0.45866,            0.027923,           0.0083711,                   0,           0.0012138,           0.0012138,           0.0012138
                  73,            0.028219,            0.013265,                   0,             0.87286,             0.57336,             0.71746,             0.46384,            0.027129,           0.0083658,                   0,             0.00109,             0.00109,             0.00109
                  74,            0.031071,            0.016275,                   0,             0.80426,              0.6862,             0.73896,             0.47703,            0.027167,           0.0085834,                   0,          0.00096625,          0.00096625,          0.00096625
                  75,            0.033773,            0.017421,                   0,             0.80426,              0.6862,             0.73896,             0.47703,            0.027167,           0.0085834,                   0,           0.0008425,           0.0008425,           0.0008425
                  76,            0.033346,            0.015516,                   0,             0.89427,               0.707,             0.75061,              0.4919,             0.02675,           0.0084391,                   0,          0.00071875,          0.00071875,          0.00071875
                  77,            0.031536,            0.016746,                   0,             0.89427,               0.707,             0.75061,              0.4919,             0.02675,           0.0084391,                   0,            0.000595,            0.000595,            0.000595
                  78,            0.029098,            0.018292,                   0,             0.83795,                0.75,             0.75285,             0.47945,            0.026675,           0.0085831,                   0,          0.00047125,          0.00047125,          0.00047125
                  79,            0.031691,            0.018788,                   0,             0.78374,              0.6057,             0.71631,             0.49316,            0.026635,           0.0083021,                   0,           0.0003475,           0.0003475,           0.0003475
